source,target,weight
clarahcantunes,Oconservador38,1
clarahcantunes,NikoIasFerreira,1
clarahcantunes,LeandroMTakano,1
claricekrohn,Suzano_info,1
claudiadotta1,JoaquinTeixeira,1
conciliele,CrisSilvaSJC,1
claudio_degani,BrunoCalixto22,1
conciliele,CarlosS48442375,1
conciliele,AngelJones_13,1
comradechoice,lazarorosa25,1
comradechoice,euailze,1
comradechoice,claudiofalatudo,1
comradechoice,cervejadgarrafa,1
comradechoice,buarqueana13,1
comradechoice,DielNascimento4,1
comradechoice,DREEZ_171,1
comradechoice,CornetaCritica,1
cmbortowski,marcosaraujjoo,1
cmbortowski,joaodomenech,1
cmbortowski,OBrizolulista,1
cmbortowski,MarcianoBrito13,1
claudio_degani,Wallcostajf,1
claudio_degani,Kaiqueporto32,1
claudio_degani,Danicarlasou,1
crymbleshotmai1,AndreaDamasce18,1
crymbleshotmai1,KaiolOof,1
dornele6,Danicarlasou,1
deniseborba23,consallys,1
deniseborba23,cervejadgarrafa,1
deniseborba23,cassiooliveir_,1
deniseborba23,MarcelaSaraivas,1
denisanddi,linapaulaqueir1,1
denisanddi,joaovoltou,1
denisanddi,alexfmotta,1
denisanddi,Pittyprovesi,1
denisanddi,MrochaNysoft,1
denisanddi,LeoniceMariana1,1
denisanddi,John_N4varro,1
denisanddi,Danicarlasou,1
dede_pepper,Suzano_info,1
deciomiranda00,vanzuty,1
deciomiranda00,lugubremonotomo,1
deciomiranda00,Suzano_info,1
deciomiranda00,Karinegtoledo,1
deciomiranda00,KaiolOof,1
deniseborba23,claudiofalatudo,1
deniseborba23,lazarorosa25,1
deciomiranda00,FelipZimmer,1
dianetagarro,Luisoli21929060,1
dornele6,CinthiaMagal,1
dornele6,BaraoFarias,1
donattinha,Danicarlasou,1
domit_37,FelipZimmer,1
domit_37,Danicarlasou,1
dnak_d,Elainnefaria1,1
dmldbdmldb,_Janoninho,1
djferne2022,aro_marcia,1
djferne2022,Suzano_info,1
djferne2022,BrunoCalixto22,1
direita_ver,linapaulaqueir1,1
direita_ver,Pittyprovesi,1
direita_ver,FelipZimmer,1
direita_ver,Elainnefaria1,1
direita_ver,Danicarlasou,1
diego_canabarro,MauricioCostaRS,1
diego_canabarro,JoaquinTeixeira,1
deciomiranda00,GleissonOpus,1
deciomiranda00,Danicarlasou,1
crymbleshotmai1,MauricioCostaRS,1
daiamorfim,cesarcalejon1,1
daiamorfim,Robi73589635,1
daiamorfim,MarcelaSaraivas,1
daiamorfim,DREEZ_171,1
dacioneto,Suzano_info,1
cypher4protect,Wallcostajf,1
cypher4protect,JoaquinTeixeira,1
cynthiafdlima69,vanete_araujo,1
cynthiafdlima69,Suzano_info,1
cynthiafdlima69,DCDM115,1
cynthiafdlima69,CinthiaMagal,1
curimim,Wagner_R_O,1
curimim,Suzano_info,1
curimim,DCDM115,1
csilvarego,lazarorosa25,1
csilvarego,carlosmouramelo,1
crymbleshotmai1,marianelazaro,1
crymbleshotmai1,Wallcostajf,1
daiamorfim,cervejadgarrafa,1
daiamorfim,joaodomenech,1
debscsantos,lazarorosa25,1
danielmarks17,_Janoninho,1
debscsantos,cesarcalejon1,1
dayserp1,queenvermelha13,1
dayserp1,_Janoninho,1
dayserp1,Solphis_chan,1
dayserp1,Robi73589635,1
davidyagi,PauloRo67507775,1
davidyagi,Kaiqueporto32,1
danniel0983,MauricioCostaRS,1
danniel0983,KaiolOof,1
danniel0983,Danicarlasou,1
danniel0983,BrunoCalixto22,1
danilohugou,lazarorosa25,1
danilohugou,joaodomenech,1
danilohugou,daniduncan,1
danilohugou,claudiofalatudo,1
danilohugou,cervejadgarrafa,1
danilohugou,EdsonFilho74,1
anpgo,joaodomenech,1
almir140771,Elilima001,1
anpgo,ElzaAugusta,1
TniaBarrozo,cervejadgarrafa,1
Trasherfive,DielNascimento4,1
Trasherfive,DREEZ_171,1
Tom_Strenge,vanete_araujo,1
Tom_Strenge,GleissonOpus,1
Toffano13,BrunoCalixto22,1
TniaBarrozo,marcosaraujjoo,1
TniaBarrozo,joaodomenech,1
TniaBarrozo,claudiofalatudo,1
TniaBarrozo,MarcianoBrito13,1
Trasherfive,claudiofalatudo,1
TioCaveira300,JoaquinTeixeira,1
TiagoErnane,vanete_araujo,1
TiagoErnane,lugubremonotomo,1
TiagoErnane,MauricioCostaRS,1
TiagoErnane,Kaiqueporto32,1
TiagoErnane,DCDM115,1
The_Yachtsman,UdaJuris2022,1
The_Yachtsman,Kaiqueporto32,1
Trasherfive,RonnyCombate,1
Trasherfive,euailze,1
ThePhalma,Wallcostajf,1
UemmegaU,JoaquinTeixeira,1
VALFERREIRAR,linapaulaqueir1,1
VALFERREIRAR,Luisoli21929060,1
VALFERREIRAR,Kaiqueporto32,1
VALFERREIRAR,JoaquinTeixeira,1
VALFERREIRAR,Claudio25924351,1
VALFERREIRAR,BrunoCalixto22,1
Umbemlegal,Wallcostajf,1
Umbemlegal,MarloneBHMG,1
UemmegaU,BrunoCalixto22,1
Trasherfive,lazarorosa25,1
TysudaLuiz,well_scosta,1
Tricolorspfc00,LucianaSV29,1
Tricolorspfc00,KaiolOof,1
Tricolorspfc00,Elainnefaria1,1
Tricolorspfc00,CinthiaMagal,1
Treta53199668,sorayabborges,1
Treta53199668,buarqueana13,1
Treta53199668,_Janoninho,1
The_Yachtsman,Danicarlasou,1
ThePhalma,FelipZimmer,1
TainarhLauren,GleissonOpus,1
Tatiana73985584,MarcelaSaraivas,1
Tatiana73985584,daniduncan,1
Tatiana73985584,claudiofalatudo,1
Tatiana73985584,cesarcalejon1,1
Tatiana73985584,cervejadgarrafa,1
Tatiana73985584,cassiooliveir_,1
Tatiana73985584,buarqueana13,1
Tatiana73985584,adamoantonioni,1
Tatiana73985584,_Janoninho,1
Tatiana73985584,M_Cristian18,1
Tatyana96116871,AlvesContabeis,1
Tatiana73985584,EdsonFilho74,1
Tatiana73985584,DielNascimento4,1
Tatiana73985584,DREEZ_171,1
Tatiana73985584,CrisSilvaSJC,1
Tatiana73985584,CornetaCritica,1
Tatiana73985584,CarlosS48442375,1
Taitiane4,vanzuty,1
Taitiane4,UdaJuris2022,1
Tatiana73985584,euailze,1
Tatyana96116871,DCDM115,1
ThassyOliv3ira,eoliveira2003,1
Teste57663389,Kaiqueporto32,1
ThassyOliv3ira,Lano_iss,1
Thah818223052,linapaulaqueir1,1
Thah818223052,leojardels,1
Thah818223052,clecio_tavares,1
Thah818223052,Karinegtoledo,1
Thah818223052,Danicarlasou,1
Teste57663389,UdaJuris2022,1
Teste57663389,Suzano_info,1
TerereTradicao,linapaulaqueir1,1
Tatyana96116871,WeillerAlves34,1
TerereTradicao,joaovoltou,1
TerereTradicao,Wagner_R_O,1
TerereTradicao,KaiolOof,1
TerereTradicao,Elainnefaria1,1
TerereTradicao,Danicarlasou,1
TerereTradicao,Andrisa01,1
Tatyana96116871,martinha17_,1
Tatyana96116871,aro_marcia,1
VCris_RDE,BrunoCalixto22,1
VCris_RDE,UdaJuris2022,1
Vacinaagora,MarcelaSaraivas,1
VidorLu,JosDonizettiVi3,1
VidorLu,OsBrizolistas,1
VidorLu,Neg_POETA,1
VidorLu,Naradmoraes,1
VidorLu,MarcelaSaraivas,1
VidorLu,M_Cristian18,1
VidorLu,MDu2022,1
VidorLu,LulaSilvaLivre,1
VidorLu,LucianaMSSanch1,1
VidorLu,JRBRONKO,1
VidorLu,Robi73589635,1
VidorLu,ElzaAugusta,1
VidorLu,EdsonFilho74,1
VidorLu,DielNascimento4,1
VidorLu,Dan_SK,1
VidorLu,DREEZ_171,1
VidorLu,Cro_thom,1
VidorLu,CrisSilvaSJC,1
VidorLu,CarlucciMurilo,1
VidorLu,RicardaBatista,1
VidorLu,RonnyCombate,1
Vacinaagora,cervejadgarrafa,1
VidorLu,buarqueana13,1
VidorLu,didizinhailha,1
VidorLu,daniduncan,1
VidorLu,consallys,1
VidorLu,claudiofalatudo,1
VidorLu,cesarcalejon1,1
VidorLu,cervejadgarrafa,1
VidorLu,cassiooliveir_,1
VidorLu,canalcoerencia,1
VidorLu,ajleal,1
VidorLu,Rosaniba,1
VidorLu,adamoantonioni,1
VidorLu,ZellFlorizel,1
VidorLu,ZeliVanderlei,1
VidorLu,VanessaCruzs2,1
VidorLu,TiciaEvans,1
VidorLu,TelesCombate,1
VidorLu,Solphis_chan,1
VidorLu,SamuraiChines,1
VidorLu,CarlosS48442375,1
VidorLu,CamilaPazCosta1,1
VidorLu,AngelJones_13,1
ValentimIldeja5,Suzano_info,1
Valriasilvestr4,aro_marcia,1
ValriaM85164705,KaiolOof,1
ValerioWaldir22,Suzano_info,1
ValerioWaldir22,JoaquinTeixeira,1
ValerioWaldir22,FelipZimmer,1
ValerioWaldir22,Elainnefaria1,1
ValerioWaldir22,Danicarlasou,1
ValerioWaldir22,CinthiaMagal,1
ValentimIldeja5,Elainnefaria1,1
Victori23822248,nordestinanews,1
Valdete51335983,Suzano_info,1
Valdete51335983,NikoIasFerreira,1
Valdete51335983,Luisoli21929060,1
Valdete51335983,Kaiqueporto32,1
Vacinaagora,nadiaprado7,1
Vacinaagora,lazarorosa25,1
Vacinaagora,daniduncan,1
Vacinaagora,cesarcalejon1,1
VambertoQueiroz,JoaquinTeixeira,1
Vanessa41504968,AlvesContabeis,1
Vanessa41504968,John_N4varro,1
Vanessa41504968,MarloneBHMG,1
Victori23822248,marcosaraujjoo,1
Victori23822248,cesarcalejon1,1
Victori23822248,cervejadgarrafa,1
Victori23822248,buarqueana13,1
Victori23822248,MarcelaSaraivas,1
Victori23822248,DielNascimento4,1
Victori23822248,DREEZ_171,1
Veroavrib,nadiaprado7,1
Veroavrib,lazarorosa25,1
Veroavrib,cervejadgarrafa,1
Veroavrib,MarcelaSaraivas,1
Veroavrib,DREEZ_171,1
Verdugo223,MauricioCostaRS,1
Verdugo223,Christi59322080,1
VarisonAndressa,Suzano_info,1
VarisonAndressa,BrunoCalixto22,1
Vanessa41504968,Suzano_info,1
TainarhLauren,Suzano_info,1
TainarhLauren,Danicarlasou,1
anpgo,CrisSilvaSJC,1
Simonegomes1981,lugubremonotomo,1
SimonepbiSimone,FelipeFrazaorj,1
SimonepbiSimone,EntregadorDeGas,1
SimonepbiSimone,Andrisa01,1
SimonepbiSimone,Amoresvidafeliz,1
SimonepbiSimone,AlvesContabeis,1
SimonepbiSimone,ATROMBETA3,1
Simonegomes1981,mmichelemartins,1
Simonegomes1981,martinha17_,1
Simonegomes1981,eoliveira2003,1
SimonepbiSimone,John_N4varro,1
Simonegomes1981,Wagner_R_O,1
Simonegomes1981,UdaJuris2022,1
Simonegomes1981,MauricioCostaRS,1
Simonegomes1981,John_N4varro,1
Simonegomes1981,Flavian51746791,1
Simone_only,um_forte,1
Simone_only,cpavanini,1
SilviaCavalca11,Suzano_info,1
SimonepbiSimone,GabryelyOlivei1,1
SimonepbiSimone,Kaiqueporto32,1
SilviaC34471888,goncalves273,1
SimonepbiSimone,vanete_araujo,1
SirleiFlesch,EdsonFilho74,1
SirMorello,Wallcostajf,1
SirMorello,Karinegtoledo,1
SirMorello,John_N4varro,1
SirMorello,Danicarlasou,1
SimonepbiSimone,xavante21,1
SimonepbiSimone,vniacavalcante,1
SimonepbiSimone,vivianesfarias1,1
SimonepbiSimone,sabinanogueira1,1
SimonepbiSimone,Lindasod,1
SimonepbiSimone,rexbonafide,1
SimonepbiSimone,olordsnow,1
SimonepbiSimone,moreirafk,1
SimonepbiSimone,lugubremonotomo,1
SimonepbiSimone,joaovoltou,1
SimonepbiSimone,UdaJuris2022,1
SimonepbiSimone,Pittyprovesi,1
SimonepbiSimone,Luisoli21929060,1
SilviaCavalca11,CinthiaMagal,1
SilviaC34471888,WillianWillCG,1
TaiWaleska,Wallcostajf,1
SaraDut59760541,Kaiqueporto32,1
Sergio26583231,Luisoli21929060,1
Selma48426844,winsletpaulson,1
Selma48426844,danielmarks17,1
Selma48426844,buarqueana13,1
Selma48426844,_Janoninho,1
SeSodyne,MauricioCostaRS,1
SeSodyne,Danicarlasou,1
SchneiderKellyC,Kaiqueporto32,1
SaraDut59760541,KaiolOof,1
SergioAndreassa,DCDM115,1
SaraDut59760541,JoaquinTeixeira,1
SaraDut59760541,Danicarlasou,1
SapoBoidas12,vanzuty,1
SapoBoidas12,olordsnow,1
SapoBoidas12,joaovoltou,1
SapoBoidas12,gabrielpaulo221,1
SapoBoidas12,carlasonzaa,1
SapoBoidas12,anascherer83,1
Sergio26583231,gabrielpaulo221,1
SergioAndreassa,Danicarlasou,1
SilviaC34471888,UdaJuris2022,1
SilvaRilana,Andrisa01,1
SilviaC34471888,CPavanJau,1
SilviaC34471888,AspasDireita,1
SilvaRilana,julyylacerda,1
SilvaRilana,almacigana7,1
SilvaRilana,WillianWillCG,1
SilvaRilana,MauricioCostaRS,1
SilvaRilana,Douglasvet33,1
SilvaRilana,BrunoCalixto22,1
Silva191485,Suzano_info,1
SergioAndreassa,Kaiqueporto32,1
Sianny29981440,Wallcostajf,1
SharonPecnik,MDemocracia22,1
SessaAriel,_Janoninho,1
SessaAriel,M_Cristian18,1
SergoPamboukian,GleissonOpus,1
SergoPamboukian,BrunoCalixto22,1
SergioAndreassa,vanete_araujo,1
SergioAndreassa,Luisoli21929060,1
SirleiFlesch,_Janoninho,1
SirleiFlesch,buarqueana13,1
SirleiFlesch,cesarcalejon1,1
Sr_nulo,CarlosS48442375,1
SrtaElisMontei1,Lindasod,1
SrtaElisMontei1,Kaiqueporto32,1
SrtaElisMontei1,Jouberth19,1
SrtaElisMontei1,DileniFeliz,1
SrtaElisMontei1,Danicarlasou,1
Sr_nulo,nadiaprado7,1
Sr_nulo,lidiacorrea20,1
Sr_nulo,DREEZ_171,1
SoyAlineBatista,winsletpaulson,1
SrtaElisMontei1,eoliveira2003,1
SoyAlineBatista,tuittage,1
SoyAlineBatista,simonegmoreno,1
SoyAlineBatista,relidafernanda,1
SoyAlineBatista,oicram2016,1
SoyAlineBatista,nordestinanews,1
SoyAlineBatista,nadiaprado7,1
SoyAlineBatista,lazarorosa25,1
SoyAlineBatista,kelvin_a10,1
SrtaElisMontei1,Wallcostajf,1
SrtaElisMontei1,mjmacul_lima,1
SirleiFlesch,joaodomenech,1
TEATRO1994,euailze,1
TSBorGS,MauricioCostaRS,1
TSBorGS,BrunoCalixto22,1
TOADTerapia,eoliveira2003,1
TOADTerapia,addrianomax,1
TOADTerapia,OliverNoronha,1
THAISOL25319575,Suzano_info,1
TEATRO1994,lazarorosa25,1
TEATRO1994,joaodomenech,1
TEATRO1994,_Janoninho,1
StaMaira,CinthiaMagal,1
TEATRO1994,MarcianoBrito13,1
TEATRO1994,MarcelaSaraivas,1
SuzanaGomesofc,Wallcostajf,1
Sugahara80,aro_marcia,1
Sugahara80,WillianWillCG,1
SuelyCristinaR1,IvairSouza4,1
SuelyCristinaR1,EduPatricioSP,1
SuelyCristinaR1,ApenasTruthNews,1
SoyAlineBatista,jamlima77,1
SoyAlineBatista,eliiwelton,1
SoyAlineBatista,didizinhailha,1
SocaFofoFsa,Danicarlasou,1
SoraiaHidalgo,FelipZimmer,1
SoraiaHidalgo,DCDM115,1
SoniaKraucher,lazarorosa25,1
SoniaAlvares8,Elainnefaria1,1
SocaFofoFsa,psy_fps,1
SocaFofoFsa,marcosaraujjoo,1
SocaFofoFsa,Wagner_R_O,1
SocaFofoFsa,John_N4varro,1
SocaFofoFsa,CinthiaMagal,1
SoyAlineBatista,danielmarks17,1
Snia54763231,MauricioCostaRS,1
Snia04163782,linapaulaqueir1,1
Snia04163782,Wallcostajf,1
Snia04163782,Suzano_info,1
Snia04163782,FelipZimmer,1
Snia04163782,Elainnefaria1,1
SirleiFlesch,lolaescreva,1
SirleiFlesch,lazarorosa25,1
SoraiaHidalgo,Kaiqueporto32,1
SoraiaHidalgo,MauricioCostaRS,1
Soraya41633025,EdsonFilho74,1
Soraya41633025,MarcianoBrito13,1
SoyAlineBatista,cervejadgarrafa,1
SoyAlineBatista,cassiooliveir_,1
SoyAlineBatista,buarqueana13,1
SoyAlineBatista,adamoantonioni,1
SoyAlineBatista,RicardaBatista,1
SoyAlineBatista,MarcelaSaraivas,1
SoyAlineBatista,MDu2022,1
SoyAlineBatista,JosDonizettiVi3,1
SoyAlineBatista,JRBRONKO,1
SoyAlineBatista,Dan_SK,1
SoyAlineBatista,CarlosS48442375,1
SoyAlineBatista,AngelJones_13,1
Soraya41633025,marcosaraujjoo,1
Soraya41633025,joaodomenech,1
Soraya41633025,claudiofalatudo,1
Soraya41633025,_Janoninho,1
Soraya41633025,RonnyCombate,1
VidorLu,edsozx,1
VidorLu,elianeespindo14,1
VidorLu,eliiwelton,1
alessandro_kd,RonnyCombate,1
alexalves198889,Wallcostajf,1
alexalves198889,FelipZimmer,1
alessandro_kd,lazarorosa25,1
alessandro_kd,joaodomenech,1
alessandro_kd,euailze,1
alessandro_kd,daniduncan,1
alessandro_kd,cesarcalejon1,1
alessandro_kd,cervejadgarrafa,1
alessandro_kd,MarcelaSaraivas,1
alexand38859437,claudiofalatudo,1
alessandro_kd,M_Cristian18,1
alessandro_kd,EdsonFilho74,1
alessandro_kd,DREEZ_171,1
alessandro_kd,CarlosS48442375,1
aimeudedinho,euailze,1
aimeudedinho,daniduncan,1
aimeudedinho,consallys,1
aimeudedinho,buarqueana13,1
alexalves198889,aro_marcia,1
alexand38859437,lucivaniasousa,1
aimeudedinho,_Janoninho,1
alinepsn_,Suzano_info,1
almeida_welma,KaiolOof,1
almeida_welma,John_N4varro,1
almeida_welma,JoaquinTeixeira,1
allanvitorgtr,nadiaprado7,1
allanvitorgtr,lazarorosa25,1
allanvitorgtr,cesarcalejon1,1
allanvitorgtr,cervejadgarrafa,1
allanvitorgtr,DREEZ_171,1
aline_fvieira,lugubremonotomo,1
alexandrarubima,MDu2022,1
aline_fvieira,FelipZimmer,1
aline_fvieira,BrunoCalixto22,1
alexsan80192858,Elainnefaria1,1
alexcarv72,aro_marcia,1
alexcarv72,Suzano_info,1
alexbrselva,JoaquinTeixeira,1
alexbrselva,FelipZimmer,1
alexandrarubima,lazarorosa25,1
aimeudedinho,alexandrarubima,1
ailtoncasares1,buarqueana13,1
VidorLu,euailze,1
acaciaguerra_,MauricioCostaRS,1
acquabubbles,buarqueana13,1
acquabubbles,TiciaEvans,1
acquabubbles,MarcianoBrito13,1
acquabubbles,MarcelaSaraivas,1
acquabubbles,EdsonFilho74,1
acquabubbles,DREEZ_171,1
acquabubbles,AngelJones_13,1
acaciaguerra_,Suzano_info,1
acaciaguerra_,JoaquinTeixeira,1
acquabubbles,cesarcalejon1,1
ac13131313,lazarorosa25,1
ac13131313,cesarcalejon1,1
abnersantosfre,Suzano_info,1
abnersantosfre,MauricioCostaRS,1
abnersantosfre,JoaquinTeixeira,1
abnersantosfre,Danicarlasou,1
abneralvsf,Suzano_info,1
abneralvsf,MauricioCostaRS,1
acquabubbles,cervejadgarrafa,1
acquabubbles,consallys,1
aguaeoleo,RejaneBP38,1
adrydepaula,BrunoCalixto22,1
aguaeoleo,Lindasod,1
aguaeoleo,LeandroMTakano,1
afonsor5hotmai1,lazarorosa25,1
afonsor5hotmai1,LucianaMSSanch1,1
adsrocha6,lazarorosa25,1
adsrocha6,joaodomenech,1
adsrocha6,cesarcalejon1,1
adrydepaula,MarloneBHMG,1
adrianacercan2,MauricioCostaRS,1
acquabubbles,daniduncan,1
adilsonmz,velhodoriorj,1
adaossilva82,JoaquinTeixeira,1
adalber02600587,BrunoCalixto22,1
acquabubbles,zurenemanique,1
acquabubbles,nadiaprado7,1
acquabubbles,lolaescreva,1
acquabubbles,lazarorosa25,1
acquabubbles,euailze,1
almir140771,AndreaDamasce18,1
fabiolabarcela,MarcelaSaraivas,1
almir140771,FelipZimmer,1
andre_cassio,IvairSouza4,1
andre_cassio,lugubremonotomo,1
andre_cassio,goncalves273,1
andre_cassio,euquerenh,1
andre_cassio,WillianWillCG,1
andre_cassio,Wagner_R_O,1
andre_cassio,Suzano_info,1
andre_cassio,LeoniceMariana1,1
andre_cassio,Kaiqueporto32,1
andre_cassio,FelipZimmer,1
andre_cassio,vanete_araujo,1
andre_cassio,Edu210670,1
andre_cassio,E_PaKabah,1
andre_cassio,Danicarlasou,1
andre_brazolin,Danicarlasou,1
anderson_gs1,Kaiqueporto32,1
anderson_gs1,CinthiaMagal,1
analucia3g,lazarorosa25,1
analucia3g,jamlima77,1
andre_cassio,martinha17_,1
andreccaldeira,Pittyprovesi,1
almir140771,GleissonOpus,1
angelamariazach,marcoaurelio969,1
annasilva963,BrunoCalixto22,1
anna_pestilli,UdaJuris2022,1
anna_pestilli,BrunoCalixto22,1
anisioamaral,aro_marcia,1
anisioamaral,MauricioCostaRS,1
anisioamaral,Danicarlasou,1
animations_sign,Danicarlasou,1
anicaferrero,MauricioCostaRS,1
angelamariazach,MauricioCostaRS,1
andreccaldeira,Suzano_info,1
angelamariazach,BrunoCalixto22,1
andrew_cid,PatriaAmada0709,1
andrew_cid,IvairSouza4,1
andremaquieira,FelipZimmer,1
andrejdb1,MauricioCostaRS,1
andrejdb1,Karinegtoledo,1
andreco10170325,Suzano_info,1
andreco10170325,Jouberth19,1
analucia3g,RonnyCombate,1
analucia3g,Mu29964508Marta,1
analucasdel,lazarorosa25,1
amerciapps,DREEZ_171,1
amerciapps,RicardaBatista,1
amerciapps,OceanAlves,1
amerciapps,MarcelaSaraivas,1
amerciapps,M_Cristian18,1
amerciapps,JosDonizettiVi3,1
amerciapps,ElzaAugusta,1
amerciapps,EdsonFilho74,1
amerciapps,DielNascimento4,1
amerciapps,CrisSilvaSJC,1
analucasdel,kelvin_a10,1
amerciapps,CornetaCritica,1
amerciapps,CarlosS48442375,1
amanda_villaca,Kaiqueporto32,1
amanda_villaca,GleissonOpus,1
amanda_villaca,CinthiaMagal,1
almir140771,goncalves273,1
almir140771,aro_marcia,1
almir140771,NikoIasFerreira,1
amerciapps,Rosaniba,1
amerciapps,TiciaEvans,1
amerciapps,adamoantonioni,1
amerciapps,buarqueana13,1
analucasdel,jeje_cricri,1
analucasdel,DREEZ_171,1
ana_282828,LeoniceMariana1,1
ana_282828,GgmAndrews,1
amgelfer,EdsonFilho74,1
amerciapps,zurenemanique,1
amerciapps,oicram2016,1
amerciapps,nadiaprado7,1
amerciapps,lolaescreva,1
amerciapps,lazarorosa25,1
amerciapps,giordano_girl,1
amerciapps,didizinhailha,1
amerciapps,daniduncan,1
amerciapps,consallys,1
amerciapps,claudiofalatudo,1
amerciapps,cesarcalejon1,1
amerciapps,cassiooliveir_,1
abneralvsf,JoaquinTeixeira,1
abnael_martins,AndreaDamasce18,1
_kleber_silva,sorayabborges,1
Waldenilsonrobe,GleissonOpus,1
Waldenilsonrobe,marianelazaro,1
Waldenilsonrobe,linapaulaqueir1,1
Waldenilsonrobe,joaoeliud,1
Waldenilsonrobe,belcrischagas,1
Waldenilsonrobe,Wallcostajf,1
Waldenilsonrobe,Wagner_R_O,1
Waldenilsonrobe,ValmorRicadO,1
Waldenilsonrobe,MarloneBHMG,1
Waldenilsonrobe,GgmAndrews,1
WanSilva0616,Danicarlasou,1
Waldenilsonrobe,FelipZimmer,1
Waldenilsonrobe,Edu210670,1
Waldenilsonrobe,Danicarlasou,1
Waldenilsonrobe,AppelLuciano,1
Wagnerhipolito6,vanzuty,1
Wagnerhipolito6,gabrielpaulo221,1
Wagnerhipolito6,Suzano_info,1
Wagnerhipolito6,JoaquinTeixeira,1
Waldenilsonrobe,vanete_araujo,1
WanSilva0616,FelipZimmer,1
WritterAnaLuiza,GgmAndrews,1
WolmerMonik,BrunoCalixto22,1
WritterAnaLuiza,Danicarlasou,1
WolmerMonik,marianelazaro,1
WolmerMonik,lugubremonotomo,1
WolmerMonik,Wagner_R_O,1
WolmerMonik,Kaiqueporto32,1
WolmerMonik,John_N4varro,1
WolmerMonik,JoaquinTeixeira,1
WolmerMonik,Danicarlasou,1
WolmerMonik,AlvesContabeis,1
WanSilva0616,JoaquinTeixeira,1
Weslley02374166,lazarorosa25,1
Weslley02374166,_Janoninho,1
Wereszk,Suzano_info,1
WerbitchonA,Suzano_info,1
WerbitchonA,Kaiqueporto32,1
WerbitchonA,JoaquinTeixeira,1
WerbitchonA,BrunoCalixto22,1
WarleyFAragao,Danicarlasou,1
Wagnerhipolito6,EduPatricioSP,1
Wagnerhipolito6,Danicarlasou,1
Wagnerhipolito6,Claudio25924351,1
VidorLu,nandatorres21,1
VidorLu,zurenemanique,1
VidorLu,velhodoriorj,1
VidorLu,tuittage,1
VidorLu,relidafernanda,1
VidorLu,queenvermelha13,1
VidorLu,profalexmarcelo,1
VidorLu,oicram2016,1
VidorLu,netto41,1
VidorLu,lucivaniasousa,1
Wagnerhipolito6,CarolPollice,1
VidorLu,lolaescreva,1
VidorLu,lazarorosa25,1
VidorLu,kelvin_a10,1
VidorLu,jeje_cricri,1
VidorLu,jamlima77,1
VidorLu,gonagipe,1
VidorLu,giordano_girl,1
VidorLu,fonncllau10,1
Vinh1Patriciamp,Kaiqueporto32,1
VirleideFiguei1,CinthiaMagal,1
VirleideFiguei1,Danicarlasou,1
VitorHu47660016,Alex__Lemos,1
Wagnerhipolito6,Andrisa01,1
WAGNERV06967168,Marta_Camponez,1
WAGNERV06967168,Jouberth19,1
VoltaPicanha,zurenemanique,1
VoltaPicanha,lolaescreva,1
VoltaPicanha,euailze,1
VoltaPicanha,daniduncan,1
VoltaPicanha,buarqueana13,1
VoltaPicanha,SessaAriel,1
VoltaPicanha,MarcianoBrito13,1
VoltaPicanha,EdsonFilho74,1
VniaMMoura1,rexbonafide,1
Viviane65301340,Wallcostajf,1
Viviane65301340,Danicarlasou,1
VitorHu47660016,jdgrings,1
VitorHu47660016,DoutorRedpill,1
VitorHu47660016,BaraoFarias,1
WritterAnaLuiza,Elilima001,1
Xulalazct,JoaquinTeixeira,1
_kleber_silva,oicram2016,1
_Fran_Marinha,euquerenh,1
_PebblesF,cassiooliveir_,1
_PebblesF,adamoantonioni,1
_PebblesF,OBrizolulista,1
_PebblesF,ElzaAugusta,1
_Janoninho,lazarorosa25,1
_Janoninho,cesarcalejon1,1
_Janoninho,_Janoninho,1
_Fran_Marinha,goncalves273,1
_Fran_Marinha,Suzano_info,1
_RuthMartins,MauricioCostaRS,1
_Fran_Marinha,MARECHAL1995,1
_Fran_Marinha,JoaquinTeixeira,1
_Fran_Marinha,Elainnefaria1,1
_Fran_Marinha,CinthiaMagal,1
_Fran_Marinha,BrunoCalixto22,1
_FlavisCarvalho,nadiaprado7,1
_FlavisCarvalho,joaodomenech,1
_FlavisCarvalho,euailze,1
_PebblesF,lazarorosa25,1
_RuthMartins,UdaJuris2022,1
Xulalazct,Suzano_info,1
_kleber_silva,M_Cristian18,1
_kleber_silva,nadiaprado7,1
_kleber_silva,consallys,1
_kleber_silva,RonnyCombate,1
_kleber_silva,OsBrizolistas,1
_kleber_silva,OceanAlves,1
_kleber_silva,OBrizolulista,1
_kleber_silva,MarcianoBrito13,1
_kleber_silva,MarcelaSaraivas,1
_kleber_silva,CrisSilvaSJC,1
_ZeDoPovo_,OceanAlves,1
_kleber_silva,CarlosS48442375,1
_aaaaalves_,euailze,1
_aaaaalves_,buarqueana13,1
_aaaaalves_,EdsonFilho74,1
_aaaaalves_,DielNascimento4,1
_aaaaalves_,DREEZ_171,1
_ZeDoPovo_,cervejadgarrafa,1
_ZeDoPovo_,_Janoninho,1
_FlavisCarvalho,consallys,1
_FlavisCarvalho,claudiofalatudo,1
_FlavisCarvalho,cervejadgarrafa,1
Yourpurposeee,consallys,1
ZadraDaniele,MarloneBHMG,1
ZadraDaniele,Danicarlasou,1
ZadraDaniele,ApenasTruthNews,1
ZadraDaniele,AlvesContabeis,1
