source,target,weight
catarinabioband,OBrizolulista,3
orgulho_2,GgmAndrews,2
Geovana_alves33,Suzano_info,2
PatGouveiataoky,marcoaurelio969,2
sheila_sadaf,Suzano_info,2
ootremcaioxx,joaodomenech,2
MDu2022,joaodomenech,2
BlendaKelly3,_Janoninho,2
clarahcantunes,PatriaAmada0709,2
GirassolBrecho,marcosaraujjoo,2
AndrRgo1,OBrizolulista,2
AndrCGalvez1,aro_marcia,2
pacato13760420,MarcianoBrito13,2
Repente40,elianeespindo14,2
Bete90071388,_Janoninho,2
M43517356Maria,JoaquinTeixeira,2
Repente40,danielmarks17,2
Waldenilsonrobe,JoaquinTeixeira,2
celsoli66372142,MarcianoBrito13,2
mrslazzie,joaodomenech,2
igormartzell,_Janoninho,2
AnderTorres5,Suzano_info,2
AndrRgo1,CornetaCritica,2
Repente40,sorayabborges,2
homo10sapiens,sorayabborges,2
AndrRgo1,CrisSilvaSJC,2
lipecardoso_123,JoaquinTeixeira,2
BertoniLeo,JoaquinTeixeira,2
Yenor_lanoican,Suzano_info,2
clarahcantunes,vanzuty,2
GirassolBrecho,joaodomenech,2
bysincerona,CrisSilvaSJC,2
CeticoLover,_Janoninho,2
Fabiana29202402,joaodomenech,2
sa_carlos,joaodomenech,2
carlosrafer,MarcianoBrito13,2
catarinabioband,joaodomenech,2
AndreiaPatroci2,joaodomenech,2
rosielepamela1,CornetaCritica,2
MassisanaLima,JoaquinTeixeira,2
ElaineC27682379,marcosaraujjoo,2
csilvarego,marcosaraujjoo,2
rooseveltribam3,_Janoninho,2
csilvarego,_Janoninho,2
jeannyy,_Janoninho,2
catarinabioband,claudiofalatudo,2
Regina13Ara,_Janoninho,2
Ravelo_Mortimer,JoaquinTeixeira,2
Marlene65162860,Suzano_info,2
prasemprelula,_Janoninho,2
VidorLu,CornetaCritica,2
VidorLu,sorayabborges,2
RegBRAJP,joaodomenech,2
VidorLu,rsafllics,2
catarinabioband,_Janoninho,2
ricardo10099129,sorayabborges,2
CalM29541309,FranLSNeto,2
primasilenciosa,_Janoninho,2
ArlindoATavares,_Janoninho,2
Arnaldo96251489,Amoresvidafeliz,2
