created_at,source,target
2022-11-22 17:47:36,LauraApGC1,Suzano_info
2022-11-22 17:47:42,LauraApGC1,aro_marcia
2022-11-22 17:48:30,Cf70Cristina,_Janoninho
2022-11-22 17:48:42,curimim,DCDM115
2022-11-22 17:49:00,edcar1811,aro_marcia
2022-11-22 17:49:19,madelcostas,_Janoninho
2022-11-22 17:49:38,edcar1811,Suzano_info
2022-11-22 17:50:09,Aicram39552326,_Janoninho
2022-11-22 17:50:16,CludiaMascaren6,Suzano_info
2022-11-22 17:50:49,CludiaMascaren6,DCDM115
2022-11-22 17:50:54,8x8News,BrunoCalixto22
2022-11-22 17:51:05,CludiaMascaren6,PolticaDVerdade
2022-11-22 17:51:10,sandraschulzcar,vanete_araujo
2022-11-22 17:51:17,edcar1811,BrunoCalixto22
2022-11-22 17:51:35,CludiaMascaren6,joaovoltou
2022-11-22 17:51:52,curimim,Suzano_info
2022-11-22 17:51:57,AgnaldoRamosDS,linapaulaqueir1
2022-11-22 17:52:10,Douglas70211690,DCDM115
2022-11-22 17:52:12,IvanMor44139289,Suzano_info
2022-11-22 17:52:18,dede_pepper,Suzano_info
2022-11-22 17:52:18,CarlosR68404460,aro_marcia
2022-11-22 17:52:19,curimim,Wagner_R_O
2022-11-22 17:52:25,FlavioS1971,Suzano_info
2022-11-22 17:52:32,CludiaMascaren6,LeoniceMariana1
2022-11-22 17:52:42,FlavioS1971,Wagner_R_O
2022-11-22 17:53:07,laisrungria,aro_marcia
2022-11-22 17:53:08,CludiaMascaren6,vanete_araujo
2022-11-22 17:53:15,laisrungria,MrochaNysoft
2022-11-22 17:53:23,MarizaSantiago5,Suzano_info
2022-11-22 17:53:23,ritaderibeiro,Suzano_info
2022-11-22 17:53:48,raquel_bernarda,Suzano_info
2022-11-22 17:53:48,AyltonBaptista,_Janoninho
2022-11-22 17:53:52,ZadraDaniele,Suzano_info
2022-11-22 17:53:54,raquel_bernarda,DCDM115
2022-11-22 17:54:04,edcar1811,Danicarlasou
2022-11-22 17:54:07,ElisBrando6,BrunoCalixto22
2022-11-22 17:54:13,PolimLimeira,Suzano_info
2022-11-22 17:54:15,ritaderibeiro,linapaulaqueir1
2022-11-22 17:54:17,ElisBrando6,LeoniceMariana1
2022-11-22 17:54:20,mandinhaeeyru,DCDM115
2022-11-22 17:54:20,fabicoelhovet,linapaulaqueir1
2022-11-22 17:54:20,Vanessa41504968,Suzano_info
2022-11-22 17:54:22,2Vsft,Suzano_info
2022-11-22 17:54:22,raquel_bernarda,Pittyprovesi
2022-11-22 17:54:24,ritaderibeiro,aro_marcia
2022-11-22 17:54:40,MarizaSantiago5,linapaulaqueir1
2022-11-22 17:54:41,CludiaMascaren6,Alex__Lemos
2022-11-22 17:54:45,direita_ver,Pittyprovesi
2022-11-22 17:54:50,JairCavalcant19,UdaJuris2022
2022-11-22 17:54:55,edcar1811,FelipZimmer
2022-11-22 17:54:55,luisfrancoeng,UdaJuris2022
2022-11-22 17:54:55,CludiaMascaren6,FelipZimmer
2022-11-22 17:55:02,direita_ver,linapaulaqueir1
2022-11-22 17:55:06,CludiaMascaren6,claryene
2022-11-22 17:55:18,PedullaGabriela,DCDM115
2022-11-22 17:55:32,fabicoelhovet,PolticaDVerdade
2022-11-22 17:55:48,AmandaArielArt1,Suzano_info
2022-11-22 17:55:57,SergioAndreassa,DCDM115
2022-11-22 17:55:58,ZadraDaniele,mara_selma
2022-11-22 17:55:59,PedullaGabriela,linapaulaqueir1
2022-11-22 17:56:01,denisanddi,linapaulaqueir1
